lon,lat,checkin_num
114.46629,30.50978,442
114.46422,30.53086,17
114.46422,30.53086,1
114.466339,30.526752,38
114.464763,30.50966,1
114.461937,30.50991058,19
114.15847,30.43501,1
114.2224855,30.65251425,10129
114.2335404,30.65040278,1333
114.22654,30.64994,674
114.19732,30.64866,435
114.2388673,30.68166854,173
114.20958,30.67289,439
114.26721,30.68399,76
114.2048868,30.64713508,113
114.2524909,30.67452036,105
114.16533,30.67853,160
114.21753,30.64964,206
114.21426,30.65355,107
114.17158,30.65837,57
114.1693,30.65426,200
114.20514,30.664241,10
114.1947665,30.64569141,54
114.216255,30.651039,18
114.17537,30.66428,2
114.26922,30.6819,2
114.21477,30.65663,23
114.2121534,30.65698694,1
114.163656,30.655782,3
114.207516,30.677192,1
114.213266,30.649616,2
114.216968,30.654517,4
114.217475,30.655658,16
114.220811,30.664663,8
114.198089,30.647212,4
114.208953,30.672172,1
114.273,30.6938,3
114.200864,30.670271,16
114.2297998,30.67100206,3
114.26167,30.69195,19
114.1919,30.64125,14
114.2570983,30.68781331,51
114.1513477,30.653074,139
114.22505,30.65259,15
114.2337474,30.65049478,17
114.219841,30.650791,15
114.18208,30.65799,13
114.2566059,30.68687961,37
114.205108,30.646993,8
114.209808,30.669481,29
114.234046,30.650934,7
114.169064,30.650429,82
114.22733,30.64962,2
114.230751,30.652557,54
114.21231,30.6742,5
114.16041,30.65094,30
114.2594325,30.69549667,188
114.17159,30.65837,97
114.2055005,30.64719754,100
114.2127417,30.66730225,159
114.17708,30.66603,37
114.2631,30.68832,52
114.215,30.65804,67
114.21353,30.65052,19
114.1589,30.6504,41
114.2299156,30.64970459,41
114.167678,30.660467,310
114.25959,30.69523,24
114.224843,30.649543,97
114.17587,30.65633,46
114.21355,30.66558,29
114.23657,30.67421,13
114.15763,30.6508,2
114.1991,30.64806,2
114.22793,30.65185,1
114.24885,30.66717,1
114.221,30.66976,1
114.2226,30.65437,2
114.17144,30.66487,1
114.22244,30.65416,2
114.1515755,30.65091978,1
114.170909,30.672993,1
114.170318,30.665756,38
114.22689,30.650484,2
114.1623,30.67903,1
114.22827,30.65178,1
114.21795,30.65803,1
114.21983,30.65133,1
114.22233,30.65632,1
114.23684,30.65398,1
114.22356,30.65377,1
114.22126,30.65407,1
114.21153,30.67003,1
114.20228,30.64339,1
114.22075,30.65426,1
114.2024,30.64831,1
114.22186,30.65224,1
114.21696,30.64879,1
114.22659,30.6512,2
114.22438,30.65366,1
114.199249,30.672967,1
114.15435,30.647331,45
114.22356,30.65312,1
114.16628,30.67359,1
114.16628,30.67359,1
114.1654,30.67658,1
114.16265,30.66885,1
114.218588,30.649506,2
114.217849,30.664516,6
114.196959,30.657775,1
114.172,30.6641,1
114.212,30.6455,1
114.169,30.6493,41
114.23453,30.65368,4
114.21369,30.64666,1
114.21538,30.6567,1
114.21849,30.67487,1
114.15702,30.67633,3
114.17183,30.65104,1
114.22146,30.65425,1
114.2582339,30.68864221,13
114.219547,30.652227,54
114.226517,30.649017,18
114.217194,30.6531,21
114.191848,30.649431,1
114.176971,30.641664,2
114.162506,30.651357,2
114.229148,30.653764,10
114.215637,30.651882,1
114.217515,30.650502,1
114.167347,30.656908,3
114.166183,30.646074,2
114.201284,30.641462,20
114.222015,30.652402,23
114.259567,30.695909,1
114.198822,30.648187,1
114.27082,30.68027,1
114.16688,30.6735,1
114.1727,30.64489,1
114.224711,30.650364,9
114.173,30.6726,1
114.37029,30.6871,8445
114.37312,30.69075,4387
114.38716,30.68347,1030
114.43643,30.6544,693
114.38357,30.68213,720
114.369,30.67531,594
114.44153,30.65483,454
114.41232,30.65163,915
