lon,lat,checkin_num
116.3038476,39.99060907,1
116.3653973,39.97592289,5
116.4830609,39.93889609,2
116.4502035,39.87885219,2
116.4433128,39.92098427,1
116.4737214,39.97716723,2
116.4730026,39.90877805,3
116.4524664,39.89547337,4
116.3214248,39.92796793,1
116.430556,39.93362229,1
116.4121124,39.98397667,1
116.4775476,39.9966666,4
116.3445997,39.9667226,1
116.3023052,39.96543204,3
116.4830609,39.93889609,1
116.4437077,39.9429454,43
116.4436141,39.95796309,2
116.3079917,39.96969402,1
116.4830609,39.93889609,5
116.3425601,39.9605771,5
116.4528877,39.89193447,2
116.4139031,39.95608223,4
116.3689946,39.90789022,5
116.2978279,39.90683319,2
116.2568104,39.90559935,2
116.3203359,39.93160909,2
116.4844108,39.98405665,3
116.2973314,39.97992067,7
116.4402607,39.92304963,1
116.4352843,39.90624911,4
116.3469034,39.99228755,2
116.4336716,39.9621333,1
116.487482,39.79775401,1
116.4046303,39.92179556,2
116.4106652,39.89555081,1
116.4737214,39.97716723,4
116.4047904,39.9835531,15
116.3334965,39.9960612,17
116.4692741,39.90610517,1
116.4242406,39.88989523,4
116.4555816,39.95148959,2
116.4566816,39.9075945,1
116.4116549,39.97914714,2
116.4830609,39.93889609,2
116.3895324,39.96201559,1
116.3757985,39.97832301,1
116.3092822,39.99872027,2
116.4844108,39.98405665,6
116.4582326,39.8677099,14
116.3008052,39.96547664,1
116.4236097,39.92331357,7
116.4605789,39.95670118,3
116.4511551,39.91702247,2
116.4047361,39.87034914,6
116.4915017,39.9900589,4
116.3588967,39.99757885,1
116.4720824,39.79694277,10
116.3139967,39.97928015,2
116.4872189,39.88109149,1
116.4819833,39.92116293,3
116.4027969,39.99268063,61
116.3462037,39.98623888,1
116.3669495,39.93223307,1
116.2863448,39.95787084,14
116.279356,39.92182906,1
116.4331255,39.98807131,4
116.4313672,39.86699522,4
116.4772506,39.92267885,2
116.407029,39.96897488,7
116.4304203,39.91799009,15
116.464112,39.9837211,4
116.4366505,39.92716277,87
116.3096333,39.9303096,1
116.3639651,39.97594753,10
116.4618064,39.93476685,86
116.2663525,39.93955374,28
116.4805053,39.98319457,16
116.4295548,39.93148847,1
116.4451877,39.91510607,1
116.4142413,39.93955026,1
116.4755815,39.79829148,13
116.3802764,39.95243793,6
116.3244079,39.99465185,6
116.3064227,39.97557512,46
116.3140664,39.90898181,6
116.4339612,39.90938626,3
116.3064297,39.9799542,5
116.4432657,39.92979196,3
116.4689182,39.93654423,28
116.4666888,39.94788647,2
116.280982,39.9571077,49
116.2978355,39.90692854,1
116.4100596,39.91368852,8
116.4048345,39.99629368,7
116.3123291,39.92289671,1
116.4301255,39.89275272,49
116.4233489,39.9913571,1
116.3951454,39.91365384,2
116.4472209,39.92864052,8
116.433281,39.96755313,108
116.3397775,39.99051095,3
116.4114736,39.96393842,41
116.2035193,39.93319542,5
116.4751618,39.90901301,53
116.313609,39.97525273,1
116.2998375,39.97186769,3
116.2993804,39.97332945,1
116.3035746,39.92079197,4
116.4117285,40.0008481,4
116.4570383,39.99215998,2
116.3692729,39.99622709,509
116.4115916,39.99713646,1
116.3078017,39.96691356,13
116.3800919,39.96414871,1
116.3880527,39.96216483,14
116.3762073,39.94039464,3
116.4300765,39.85698403,3
116.4663387,39.87035138,1
116.4420682,39.90328237,10
116.453799,39.94699564,1323
116.4946421,39.80097562,2
116.4469333,39.90424213,1
116.3901376,39.88112819,9
116.3079917,39.96969402,537
116.3219073,39.96575769,35
