lon,lat,checkin_num
103.93358,30.55347,74
103.91577,30.57126,15
103.92316,30.56352,35
103.946434,30.550512,22
103.957258,30.560911,24
103.9189596,30.5643572,12
103.92716,30.57044,36
103.93317,30.5623,88
103.91893,30.5661,87
103.914764,30.56409,11
103.91963,30.56359,19
103.91727,30.55985,30
103.92202,30.57178,20
103.92374,30.5763,37
103.9191604,30.57963352,5
103.91499,30.56621,30
103.92243,30.56183,219
103.915603,30.555713,14
103.93056,30.55589,151
103.936119,30.56422,42
103.928819,30.579184,189
103.92725,30.56258,74
103.9224197,30.56202366,171
103.92568,30.5598,15
103.923713,30.574181,11
103.92728,30.57547,8
103.92693,30.57866,27
103.93616,30.57081,14
103.94528,30.55457,7
103.92945,30.55876,7
103.9281,30.56369,9
103.92668,30.5648,10
103.93225,30.56607,18
103.91902,30.56647,6
103.916931,30.556348,24
103.93339,30.56577,57
103.930954,30.559376,111
103.923713,30.574181,5
103.923713,30.574181,14
103.92336,30.56114,35
103.91493,30.56357,8
103.91467,30.56664,50
103.92312,30.56838,150
103.92355,30.58234,29
103.92705,30.57587,10
103.91806,30.5797,7
103.91706,30.5772,15
103.91994,30.57485,43
103.9228,30.57179,11
103.91773,30.55673,136
103.955612,30.559492,12
103.930404,30.559818,6
103.948036,30.564439,15
103.9265,30.57063,10
103.9183,30.57723,8
103.92564,30.57386,12
103.92578,30.57829,19
103.91495,30.57759,6
103.92331,30.57633,2
103.92256,30.56203,5
103.954597,30.567972,35990
103.942878,30.569076,2825
103.9298172,30.57410049,1146
103.92643,30.55806,1026
103.92641,30.57623,1957
103.91977,30.57016,1912
103.9148073,30.57936964,596
103.91617,30.56896,986
103.917717,30.55926537,1229
103.923713,30.574181,757
103.92407,30.5764,580
103.941909,30.55985,1448
103.92076,30.57154,256
103.92978,30.55743,717
103.92959,30.57548,332
103.92394,30.56474,702
103.93502,30.57468,625
103.93572,30.57002,225
103.9187,30.57966,643
103.9229126,30.57286263,171
103.92131,30.56218,645
103.9262772,30.57045937,275
103.952583,30.566907,214
103.92296,30.57379,145
103.92979,30.56848,388
103.92318,30.57106,346
103.9177013,30.59025852,268
103.9187,30.57966,105
103.92054,30.57263,65
103.92626,30.57119,242
103.951805,30.567192,31
103.91689,30.57295,296
103.931365,30.561025,37
103.923713,30.574181,38
103.91658,30.56266,70
103.91861,30.5747,77
103.91723,30.5686,27
103.92899,30.55272,36
103.92264,30.57145,75
103.9153565,30.55581082,192
103.93219,30.57664,107
103.92681,30.55904,78
103.9146788,30.56996446,43
103.93583,30.57461,43
103.93525,30.581,246
103.92331,30.57633,25
103.9341393,30.57510688,48
103.929123,30.56923937,78
103.9261887,30.55983968,28
103.92815,30.56909,21
103.91459,30.58323,103
103.93905,30.54981,26
103.9187,30.57966,11
103.91532,30.56604,24
103.92591,30.55957,121
103.93094,30.56079,155
103.955383,30.562557,44
103.953834,30.568681,45
103.923713,30.574181,17
103.9255,30.5665,6
103.92124,30.5657,4
103.91584,30.56578,7
103.93431,30.55295,12
103.929,30.55733,7
103.92921,30.56887,6
103.93046,30.56141,7
103.9224,30.57293,10
103.92332,30.56416,33
103.9327,30.57869,28
103.92429,30.56019,10
103.9168,30.57383,6
103.93,30.552,5
103.925699,30.578368,11
103.9233443,30.56382222,8
103.92721,30.57596,6
103.92983,30.57914,9
103.91908,30.56705,8
103.91499,30.56621,2
103.9147,30.58281,20
103.92822,30.56929,20
103.93476,30.55288,4
103.92005,30.56792,1
103.92081,30.58337,5
103.92594,30.58083,20
103.92282,30.57432,4
103.92636,30.57481,18
103.91967,30.581741,6
103.9271,30.57531,1
103.93527,30.57703,3
103.93357,30.57998,43
103.9279,30.57917,3
103.91908,30.57963,2
103.92982,30.57567,3
103.92205,30.57409,290
103.91486,30.57399,149
103.91889,30.57974,18
103.93136,30.56007,53
103.92739,30.56083,12
103.93814,30.57208,8
103.92242,30.57373,2
103.93888,30.55259,5
103.91707,30.58103,23
103.93574,30.57913,5
103.92481,30.57532,1
103.92183,30.561,27
103.92423,30.57956,5
103.93253,30.5655,36
103.92182,30.56609,9
103.95966,30.55138,5
103.92538,30.56613,80
103.92283,30.57095,3
103.9222,30.57771,11
103.92296,30.57704,3
103.92128,30.5742,16
103.92345,30.57416,3
103.91635,30.57773,5
103.91946,30.57681,5
103.92822,30.57565,3
103.92931,30.57644,5
103.92145,30.57466,56
103.92002,30.57954,7
103.92893,30.57435,18
103.9206,30.57912,2
103.92121,30.57388,1
103.9181,30.57479,4
103.92144,30.57425,3
103.92089,30.57225,2
103.91851,30.56622,1
103.91628,30.5734,3
103.92366,30.56049,2
103.92686,30.55778,2
103.92794,30.55809,4
103.927,30.56176,6
103.92668,30.56144,12
103.92786,30.56339,13
103.92668,30.56024,5
103.92668,30.55977,2
103.92521,30.56253,13
103.92487,30.56376,3
103.92259,30.56545,98
103.94333,30.55204,2
103.91551,30.55494,8
103.92498,30.57114,1
103.92314,30.5616,7
103.92936,30.55937,4
103.915267,30.554222,17
103.940376,30.579051,29
103.93153,30.56682,10
103.925343,30.577189,46
103.93035,30.56498,1
103.92225,30.57876,1
103.91866,30.56432,1
103.92336,30.57232,3
103.92242,30.57446,8
103.92385,30.58254,4
103.92556,30.56088,1
103.92571,30.5743,2
103.92868,30.56865,9
103.91776,30.57205,25
103.929797,30.576536,5
103.92213,30.5786,10
103.93475,30.56938,4
103.93272,30.57052,8
103.93359,30.56502,19
103.92534,30.57534,84
103.91867,30.56467,5
103.92812,30.56314,14
103.9246,30.56034,3
103.9242,30.56996,3
103.92767,30.57428,5
103.934,30.56356,2
103.92437,30.58866,2
103.92401,30.5812,6
103.92539,30.58094,2
103.91711,30.58081,2
103.91718,30.58216,1
103.91494,30.58573,9
103.92672,30.57453,1
103.92196,30.57754,1
103.93447,30.57667,1
103.91611,30.57988,326
103.91891,30.5769,1
103.92487,30.57626,1
103.9224,30.57668,1
103.91738,30.57754,4
103.91536,30.5779,1
103.91515,30.57794,1
103.91716,30.5772,1
103.92269,30.57702,1
103.92622,30.57394,1
103.92477,30.57394,2
103.91522,30.57569,2
103.91806,30.57479,3
103.91902,30.57463,2
103.91719,30.57942,1
103.91777,30.57936,1
103.92079,30.57947,1
103.91771,30.57973,1
103.92284,30.57981,1
103.91664,30.57844,1
103.91664,30.57816,3
103.91661,30.57628,1
103.93228,30.57341,2
103.92691,30.57319,1
103.92686,30.57906,1
103.93357,30.57534,2
103.92913,30.57468,4
103.92256,30.57664,1
